geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.445124 50.907191,0.446051 50.907718,0.446452 50.907896,0.446536 50.907973,0.446603 50.907961,0.446651 50.907834,0.446880 50.907546,0.447575 50.906470,0.445720 50.906981,0.445305 50.907059,0.445139 50.907139,0.445124 50.907191)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.483202 50.841844,0.483665 50.841870,0.483688 50.841600,0.483109 50.841590,0.483104 50.841648,0.483166 50.841651,0.483150 50.841795,0.483205 50.841799,0.483202 50.841844)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.430582 50.833018,0.430533 50.833118,0.430339 50.833510,0.430599 50.833562,0.430861 50.833033,0.430821 50.833025,0.430806 50.833056,0.430582 50.833018)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.798084 50.934698,0.797885 50.934741,0.797859 50.934755,0.797881 50.934775,0.797585 50.934877,0.797796 50.935091,0.798401 50.934849,0.798264 50.934709,0.798084 50.934698)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.522197 51.001073,0.522596 51.001069,0.523183 51.000943,0.522633 51.000708,0.522432 51.000904,0.522197 51.001073)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.474681 50.983704,0.474642 50.983610,0.474191 50.983693,0.474322 50.983979,0.474755 50.983915,0.474681 50.983704)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.489130 50.842371,0.489163 50.842083,0.488920 50.842066,0.488902 50.842359,0.489130 50.842371)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.477366 50.842905,0.477593 50.842938,0.477591 50.842856,0.477661 50.842857,0.477665 50.842718,0.477350 50.842707,0.477343 50.842771,0.477146 50.842763,0.477134 50.842825,0.477369 50.842823,0.477366 50.842905)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.469468 50.840310,0.468792 50.840272,0.468780 50.840326,0.469422 50.840382,0.469480 50.840452,0.469490 50.840311,0.469468 50.840310)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.432997 50.843722,0.432934 50.843797,0.433041 50.843865,0.433283 50.843977,0.433445 50.843994,0.433460 50.843772,0.432997 50.843722)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.483084 50.840997,0.482722 50.840937,0.482641 50.841160,0.483013 50.841208,0.483084 50.840997)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.426953 50.844743,0.426965 50.844809,0.427033 50.844815,0.427023 50.844755,0.427171 50.844747,0.427181 50.844826,0.427398 50.844844,0.427374 50.844611,0.426933 50.844634,0.426953 50.844743)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.469059 50.844198,0.469063 50.844143,0.469315 50.844142,0.469314 50.844117,0.469091 50.844109,0.469100 50.844010,0.468723 50.843998,0.468707 50.844186,0.469059 50.844198)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.484122 50.840083,0.484049 50.840309,0.484303 50.840342,0.484282 50.840421,0.484446 50.840444,0.484536 50.840200,0.484122 50.840083)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.734433 50.952290,0.734417 50.952305,0.734736 50.952474,0.734850 50.952571,0.734931 50.952500,0.734843 50.952477,0.734866 50.952456,0.734813 50.952431,0.734852 50.952397,0.734914 50.952424,0.734994 50.952386,0.735123 50.952278,0.734840 50.952257,0.734616 50.952147,0.734433 50.952290)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.722756 50.951673,0.722435 50.951660,0.722375 50.951636,0.722385 50.951575,0.722213 50.951567,0.722211 50.951643,0.721950 50.951628,0.721966 50.951739,0.721843 50.951729,0.721832 50.951814,0.722114 50.951979,0.722437 50.952044,0.722460 50.952109,0.722776 50.952075,0.722756 50.951673)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.741271 50.952527,0.740388 50.952882,0.740725 50.952976,0.740452 50.953357,0.740510 50.953374,0.740791 50.953002,0.741044 50.953078,0.740781 50.953452,0.741304 50.953614,0.741604 50.953245,0.742224 50.953439,0.742286 50.953400,0.742267 50.953382,0.742366 50.953341,0.742337 50.953313,0.742239 50.953354,0.742168 50.953269,0.742241 50.953243,0.742148 50.953155,0.742094 50.953178,0.742003 50.953095,0.741862 50.953124,0.741668 50.952929,0.741758 50.952891,0.741640 50.952774,0.741681 50.952758,0.741563 50.952633,0.741430 50.952689,0.741271 50.952527)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.466713 50.840616,0.467595 50.840586,0.467576 50.840421,0.466694 50.840357,0.466713 50.840616)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.576946 50.885745,0.576914 50.885662,0.577200 50.885594,0.576973 50.885192,0.576755 50.885149,0.576778 50.885075,0.576640 50.885047,0.576296 50.884503,0.576177 50.884550,0.576448 50.885012,0.576091 50.885109,0.576026 50.885163,0.575917 50.885193,0.576108 50.885520,0.575852 50.885583,0.575754 50.885479,0.575372 50.885528,0.575361 50.885712,0.575541 50.886090,0.576307 50.885864,0.576321 50.885889,0.576757 50.885709,0.576780 50.885741,0.576793 50.886122,0.576758 50.886164,0.576773 50.886205,0.577179 50.886092,0.576946 50.885745)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.653321 50.989409,0.653132 50.989476,0.652722 50.989016,0.652647 50.989027,0.652696 50.989098,0.652461 50.989171,0.652465 50.989225,0.652757 50.989535,0.653054 50.989765,0.653186 50.989659,0.653826 50.989638,0.653778 50.989506,0.653469 50.989545,0.653321 50.989409)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.793795 50.934532,0.794012 50.934797,0.794764 50.934562,0.794514 50.934311,0.793819 50.934497,0.793795 50.934532)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.581015 50.914913,0.580686 50.915057,0.580732 50.915101,0.580421 50.915258,0.580469 50.915311,0.580606 50.915308,0.580669 50.915365,0.580597 50.915396,0.580675 50.915472,0.580789 50.915428,0.580933 50.915422,0.581291 50.915283,0.581439 50.915257,0.581015 50.914913)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.758563 50.938037,0.758138 50.937532,0.757783 50.937349,0.757503 50.937510,0.757120 50.937498,0.757038 50.937785,0.756436 50.938387,0.757052 50.938546,0.757721 50.938350,0.757823 50.938490,0.757896 50.938467,0.757957 50.938549,0.757881 50.938569,0.758172 50.938988,0.758690 50.938859,0.758598 50.938721,0.759002 50.938613,0.758563 50.938037)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.450676 50.853347,0.450781 50.853363,0.450828 50.853442,0.451123 50.853376,0.451180 50.853323,0.451391 50.853274,0.451324 50.852866,0.451189 50.852813,0.451099 50.852622,0.450392 50.852739,0.450676 50.853347)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.544022 50.927653,0.543780 50.927657,0.543577 50.927742,0.543898 50.928100,0.544416 50.927920,0.544588 50.927986,0.544617 50.927781,0.545020 50.927817,0.545041 50.927703,0.544698 50.927686,0.544690 50.927737,0.544643 50.927757,0.544352 50.927673,0.544022 50.927653)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.475318 50.989674,0.475304 50.989620,0.475054 50.989685,0.474247 50.989726,0.473536 50.989922,0.473216 50.989968,0.473218 50.990004,0.473276 50.990013,0.473273 50.990092,0.472991 50.990222,0.472689 50.990640,0.472826 50.990751,0.472791 50.990915,0.472832 50.991060,0.472697 50.991332,0.472773 50.991347,0.472740 50.991397,0.473156 50.991505,0.473306 50.991216,0.473561 50.990957,0.473965 50.990980,0.473958 50.990867,0.475108 50.990682,0.475125 50.990614,0.475155 50.990614,0.475164 50.990461,0.475202 50.990466,0.475321 50.990067,0.475528 50.990026,0.475318 50.989674)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.527970 50.955369,0.528151 50.955388,0.528134 50.955297,0.528237 50.955332,0.528263 50.955240,0.528147 50.955096,0.528156 50.955018,0.528104 50.955016,0.528017 50.954898,0.528210 50.954873,0.528243 50.954708,0.528054 50.954702,0.528051 50.954743,0.527894 50.954773,0.527903 50.954837,0.527682 50.954843,0.527679 50.954794,0.527416 50.954785,0.527418 50.954821,0.527262 50.954826,0.527267 50.954889,0.527027 50.954891,0.526925 50.954969,0.526922 50.955063,0.526674 50.955077,0.526605 50.955186,0.526951 50.955270,0.527382 50.955303,0.527991 50.955296,0.527970 50.955369)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.467074 50.848162,0.467311 50.848149,0.467628 50.848051,0.467407 50.846867,0.468275 50.846874,0.468292 50.846747,0.468360 50.846735,0.468301 50.846581,0.468363 50.846557,0.468040 50.845984,0.467920 50.845972,0.467866 50.845846,0.466560 50.846075,0.466568 50.846898,0.466675 50.846959,0.466659 50.847038,0.466714 50.847055,0.466779 50.848172,0.466302 50.848196,0.466270 50.848492,0.466411 50.848493,0.466409 50.848624,0.466842 50.848646,0.466850 50.848210,0.467074 50.848162)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.467941 50.840061,0.467904 50.840185,0.468266 50.840230,0.468332 50.839935,0.467978 50.839902,0.467941 50.840061)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.461543 50.845656,0.462100 50.845645,0.462055 50.845464,0.462288 50.845454,0.462108 50.845303,0.462533 50.845118,0.462512 50.845095,0.462074 50.845258,0.461787 50.845035,0.461596 50.845131,0.461543 50.845656)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.473448 50.838248,0.473441 50.838291,0.473791 50.838321,0.473813 50.838219,0.473459 50.838188,0.473448 50.838248)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.488626 50.846820,0.488509 50.847101,0.488939 50.847202,0.489058 50.846900,0.488626 50.846820)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.488159 50.847008,0.488303 50.846692,0.488024 50.846637,0.487885 50.846929,0.488159 50.847008)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.736175 50.953173,0.735994 50.952932,0.735653 50.953043,0.735854 50.953148,0.735955 50.953146,0.735963 50.953183,0.736175 50.953173)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.409096 50.849368,0.409189 50.849398,0.409275 50.849283,0.410173 50.848416,0.410350 50.847985,0.410023 50.847607,0.410363 50.847533,0.410649 50.847307,0.410579 50.847277,0.410651 50.847214,0.410649 50.846883,0.410539 50.846648,0.409448 50.847552,0.409074 50.847585,0.408992 50.847566,0.408642 50.847185,0.408624 50.847049,0.408129 50.847080,0.407754 50.847047,0.407834 50.846737,0.407525 50.846710,0.407335 50.846734,0.407295 50.846635,0.407109 50.846683,0.406812 50.846554,0.406785 50.846580,0.406623 50.846584,0.406511 50.846686,0.406530 50.846695,0.406466 50.846750,0.406549 50.846786,0.406581 50.846757,0.406614 50.846772,0.406453 50.846919,0.406393 50.847075,0.406620 50.847693,0.406880 50.849207,0.408436 50.849680,0.408767 50.849274,0.409096 50.849368)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.596974 50.948956,0.597314 50.948891,0.597520 50.948793,0.597536 50.948552,0.597384 50.948366,0.596711 50.948528,0.596789 50.948741,0.596868 50.948727,0.596974 50.948956)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.729212 50.951284,0.729127 50.951108,0.728912 50.951150,0.729000 50.951331,0.729212 50.951284)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.460107 50.845815,0.460739 50.845758,0.460726 50.845669,0.460614 50.845674,0.460609 50.845645,0.460263 50.845604,0.460211 50.845573,0.460016 50.845699,0.460011 50.846074,0.460067 50.846066,0.460072 50.845818,0.460107 50.845815)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.734203 50.953216,0.734713 50.953173,0.734653 50.952955,0.734503 50.952892,0.734645 50.952800,0.734591 50.952765,0.734477 50.952843,0.734274 50.952776,0.734203 50.953216)))",2021-01-04,,,
,,,local-authority-eng:ROH,,"MULTIPOLYGON (((0.731577 50.947922,0.732174 50.947925,0.732266 50.947956,0.732639 50.947842,0.732627 50.947803,0.732807 50.947769,0.732834 50.947756,0.732837 50.947690,0.733246 50.947648,0.733212 50.947566,0.733277 50.947577,0.733265 50.947507,0.733143 50.947498,0.732997 50.947378,0.732737 50.947344,0.731645 50.947078,0.731478 50.947130,0.731342 50.947245,0.731239 50.947456,0.731601 50.947503,0.731659 50.947557,0.731605 50.947699,0.731583 50.947728,0.731194 50.947722,0.731202 50.947831,0.731327 50.948110,0.731319 50.948261,0.731262 50.948467,0.731227 50.948496,0.731190 50.948693,0.731313 50.948680,0.731352 50.948820,0.731608 50.948790,0.731552 50.948764,0.731536 50.948685,0.731509 50.948686,0.731498 50.948475,0.731527 50.948474,0.731519 50.948396,0.731561 50.948392,0.731537 50.948119,0.731577 50.947922)))",2021-01-04,,,
