geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
brownfield-site:BR1,Former Liskeard Enterprise Centre Liskeard PL14 4BW,BR1,local-authority-eng:CON,,"MULTIPOLYGON (((-4.466444 50.451225,-4.466398 50.451197,-4.466453 50.451166,-4.466482 50.451205,-4.466544 50.451187,-4.466719 50.451448,-4.466559 50.451454,-4.466327 50.451410,-4.466460 50.451258,-4.466444 50.451225)),((-4.465035 50.450950,-4.465005 50.450910,-4.465035 50.450898,-4.464956 50.450765,-4.465260 50.450604,-4.466362 50.451116,-4.466176 50.451217,-4.465671 50.450934,-4.465442 50.451087,-4.465797 50.451286,-4.465669 50.451378,-4.465785 50.451442,-4.465751 50.451475,-4.465223 50.451194,-4.465035 50.450950)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR1
brownfield-site:BR2,Land to rear Old County Hall Truro TR1 3HA,BR2,local-authority-eng:CON,,"MULTIPOLYGON (((-5.066369 50.262660,-5.066202 50.262596,-5.065886 50.262681,-5.065814 50.262759,-5.065745 50.262746,-5.064865 50.262259,-5.065589 50.261765,-5.065734 50.261441,-5.065672 50.261382,-5.065935 50.261271,-5.066073 50.261045,-5.066296 50.261247,-5.066366 50.261131,-5.067234 50.261321,-5.067026 50.261778,-5.067274 50.261943,-5.067125 50.262244,-5.067021 50.262126,-5.066533 50.262277,-5.066387 50.262275,-5.066473 50.262465,-5.066369 50.262660)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR2
brownfield-site:BR4,Forge Industrial Park North Roskear Camborne TR14 0AW,BR4,local-authority-eng:CON,,"MULTIPOLYGON (((-5.289345 50.223996,-5.289355 50.224150,-5.289290 50.224167,-5.289146 50.224189,-5.288915 50.224146,-5.288889 50.224207,-5.288836 50.224237,-5.288285 50.224351,-5.288190 50.224333,-5.288138 50.224261,-5.288145 50.224193,-5.288690 50.223635,-5.289252 50.223579,-5.289345 50.223996)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR4
brownfield-site:BR5,Land at North Roskear Road Camborne TR14 8PR,BR5,local-authority-eng:CON,,"MULTIPOLYGON (((-5.286304 50.221632,-5.286368 50.221614,-5.286427 50.221648,-5.286579 50.221890,-5.286669 50.222150,-5.286557 50.222814,-5.286509 50.222844,-5.286346 50.222857,-5.286294 50.222823,-5.286309 50.222517,-5.286236 50.222358,-5.286002 50.222326,-5.285894 50.222259,-5.285781 50.222250,-5.285599 50.222137,-5.286304 50.221632)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR5
brownfield-site:BR14,Site Adj To Tuckingmill Apartments Maynes Row Tuckingmill TR14 8QP,BR14,local-authority-eng:CON,,"MULTIPOLYGON (((-5.280291 50.223749,-5.280058 50.223523,-5.280352 50.223452,-5.280424 50.223487,-5.280566 50.223736,-5.280620 50.223723,-5.280658 50.223791,-5.280452 50.223901,-5.280291 50.223749)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR14
brownfield-site:BR16,The Garden Sports and Leisure Club 10 Antony Road Torpoint PL11 2JW,BR16,local-authority-eng:CON,,"MULTIPOLYGON (((-4.198039 50.376720,-4.198022 50.376610,-4.198431 50.376638,-4.198395 50.377018,-4.198054 50.376995,-4.198039 50.376720)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR16
brownfield-site:BR17,The Harbour Lights 1 Fore Street Torpoint PL11 2AA,BR17,local-authority-eng:CON,,"MULTIPOLYGON (((-4.196350 50.376714,-4.196433 50.376612,-4.196378 50.376592,-4.196481 50.376479,-4.196712 50.376541,-4.196682 50.376685,-4.196586 50.376656,-4.196485 50.376765,-4.196350 50.376714)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR17
brownfield-site:BR18,St Michaels Hotel And Spa 7 Stracey Road Falmouth TR11 4NB,BR18,local-authority-eng:CON,,"MULTIPOLYGON (((-5.069878 50.146135,-5.069824 50.146236,-5.069720 50.146274,-5.068339 50.146413,-5.068277 50.146025,-5.067875 50.146055,-5.067701 50.145018,-5.068116 50.144957,-5.068439 50.144980,-5.068748 50.145027,-5.069591 50.145242,-5.069570 50.145475,-5.069711 50.145599,-5.069800 50.145728,-5.069878 50.146135)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR18
brownfield-site:BR20,Parc An Creet Garage Higher Stennack St Ives TR26 2HE,BR20,local-authority-eng:CON,,"MULTIPOLYGON (((-5.492727 50.207174,-5.492885 50.207089,-5.492893 50.207118,-5.493344 50.206861,-5.493649 50.207031,-5.492804 50.207495,-5.492748 50.207458,-5.492975 50.207329,-5.492727 50.207174)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR20
brownfield-site:BR21,Orchard Walls Trewidden Road St Ives TR26 2BX,BR21,local-authority-eng:CON,,"MULTIPOLYGON (((-5.481409 50.209013,-5.481530 50.208959,-5.481719 50.209100,-5.481275 50.209388,-5.481006 50.209194,-5.481409 50.209013)))",2021-01-09,,,/brownfield-site/local-authority-eng/CON/brownfield-site-BR21
