bytes,content-type,elapsed,endpoint,resource,status,entry-date,start-date,end-date
1327574,application/zip,0.872,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-22T17:35:33.434128,,
833212,application/xml,0.766,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,e0e677513b57e1a5bf2cf9f656843222f31b99e9bb1d9e660bccb41d37d321d2,200,2020-12-23T17:12:36.545044,,
1327574,application/zip,0.876,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-23T15:28:18.338158,,
833212,application/xml,4.915,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,ff4a3a3d3410a5bea3b8c7e3ecd247ec145bf739109df5aaa7cb0caad5925967,200,2020-12-24T00:12:03.538215,,
1327574,application/zip,1.378,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-24T00:12:03.538215,,
833212,application/xml,25.895,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,a2fb8116661a3a11f9610b459bd8f3b5935aac492c3014f18ea8feb9e7e1b9a6,200,2020-12-25T00:09:19.855822,,
1327574,application/zip,1.398,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-25T00:09:19.855822,,
833212,application/xml,25.957,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,d5568cac371393d687e3406549e75523bf1472b26b244104970029560b574610,200,2020-12-26T00:07:41.291576,,
1327574,application/zip,1.403,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-26T00:07:41.291576,,
833212,application/xml,4.891,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,76c607daa1d7cefac0f5ec07fddaa2207adf20bfc3c7f030836f3cd6dd239c9e,200,2020-12-27T00:07:37.969758,,
1327574,application/zip,1.222,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-27T00:07:37.969758,,
833212,application/xml,5.111,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,21e588656b6af1a30e75d040339de10d5fa610e975ea14fcef6874c727f3506e,200,2020-12-28T00:08:44.974744,,
1327574,application/zip,1.286,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-28T00:08:44.974744,,
833212,application/xml,4.749,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,45b30f34706938f5b2a7daa0157e30e7735c49c43f30c68ed14500969c870161,200,2020-12-29T00:10:16.486786,,
1327574,application/zip,1.355,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-29T00:10:16.486786,,
833212,application/xml,4.923,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,dd626f4b77b5a7d3475d2c1ddb5ebf4ec9be56cf720743f3d095f91de760fd7d,200,2020-12-30T00:11:17.088708,,
1327574,application/zip,1.264,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-30T00:11:17.088708,,
833212,application/xml,5.955,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,efc4f3a293491330902a76428170583b76f97efd790bbb74c4a5f5a330a6c7ba,200,2020-12-31T00:13:05.682960,,
1327574,application/zip,1.684,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2020-12-31T00:13:05.682960,,
833212,application/xml,5.56,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,06fd8acc65c94b7eb07419b40050567ed0faf72db239c7912020fce71e06ee6a,200,2021-01-01T00:11:27.069102,,
1327574,application/zip,1.399,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-01T00:11:27.069102,,
833212,application/xml,17.409,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,7321727a365871eaacc9d189008a795c1d9233e31598c77a7e01b4163ed8d59d,200,2021-01-02T00:11:26.720063,,
1327574,application/zip,1.353,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-02T00:11:26.720063,,
833212,application/xml,5.467,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,fade81b6a3e869932185182df4a92d15ffcf9d258ec3ec63692b37445eb2c85b,200,2021-01-03T00:11:25.594294,,
1327574,application/zip,1.47,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-03T00:11:25.594294,,
833212,application/xml,5.396,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,e576edb46a7ccbb315fd59f2c2f5d3599e86b6ddca338454b320652229b574f9,200,2021-01-04T00:13:22.403630,,
25342,application/x-zip-compressed,0.248,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-04T16:47:07.769582,,
1327574,application/zip,1.348,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-04T00:13:22.403630,,
833212,application/xml,26.574,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,d8cdedadd5ee9bc528b6537749a09877136d43889ca99e78c6a042dc87d54b38,200,2021-01-05T00:16:26.884218,,
25342,application/x-zip-compressed,0.653,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-05T00:16:26.884218,,
1327574,application/zip,1.268,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-05T00:16:26.884218,,
833212,application/xml,6.027,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,7477df09818fabab8da6e27e317e18ab311b71829a8a4ed5d9d65d93876f0552,200,2021-01-06T00:13:32.474571,,
25342,application/x-zip-compressed,1.014,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-06T00:13:32.474571,,
1327574,application/zip,1.231,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-06T00:13:32.474571,,
833212,application/xml,5.7,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,3bfaa267fc07753d2eec797cabb4382cc92ce3a311db8a8a9d85b94609caf369,200,2021-01-07T00:16:59.045295,,
25342,application/x-zip-compressed,0.846,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-07T00:16:59.045295,,
1327574,application/zip,1.329,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-07T00:16:59.045295,,
833212,application/xml,27.251,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,7600abf72d59f62713a8ea164b1646ec96edc988ee4f5b59d2b525e8c23c4363,200,2021-01-08T00:18:05.338584,,
25342,application/x-zip-compressed,1.383,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-08T00:18:05.338584,,
1327574,application/zip,2.033,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-08T00:18:05.338584,,
833212,application/xml,5.439,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,fb805b660865c389569dbfcd7a4d1e83882751da6fad397b0a12555757555e97,200,2021-01-09T00:16:38.204979,,
25342,application/x-zip-compressed,0.8,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-09T00:16:38.204979,,
1327574,application/zip,1.464,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-09T00:16:38.204979,,
833212,application/xml,5.837,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2e0a335c2ac2dee170c334a5943a55bd557af24945de8c74af5b0a3bd786db9b,200,2021-01-10T00:17:12.517813,,
25342,application/x-zip-compressed,0.938,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-10T00:17:12.517813,,
1327574,application/zip,1.321,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-10T00:17:12.517813,,
833212,application/xml,5.437,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,8ff295694a0c48addc9bee8b4613c23c6a93de6cc421774735984c26232c1c64,200,2021-01-11T00:16:54.946220,,
25342,application/x-zip-compressed,0.846,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-11T00:16:54.946220,,
1327574,application/zip,1.463,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-11T00:16:54.946220,,
833212,application/xml,5.347,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,7f18ce13aaa0aad4549b9938db6c0824ae39b0cc2c675a4604d06af4403fa78d,200,2021-01-12T00:20:00.954089,,
25342,application/x-zip-compressed,0.86,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-12T00:20:00.954089,,
1327574,application/zip,1.532,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-12T00:20:00.954089,,
833212,application/xml,5.306,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,38f4fef5ca17c9becde689aee8a17f3b72b437b3f986a73859862f6b21e9bc82,200,2021-01-13T00:27:46.272010,,
25342,application/x-zip-compressed,0.889,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-13T00:27:46.272010,,
1327574,application/zip,1.292,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-13T00:27:46.272010,,
833212,application/xml,5.679,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,4e05f98a383f5619e289629370fdfeaa6c20b443dd3e8215d552559e7e6f6d06,200,2021-01-14T00:34:04.828096,,
25342,application/x-zip-compressed,0.772,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-14T00:34:04.828096,,
1327574,application/zip,1.209,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-14T00:34:04.828096,,
833212,application/xml,6.202,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,d0ec478e0c811ef503fec73187b6f832460e057500cfde59e84404cc85463c25,200,2021-01-15T00:29:07.384855,,
25342,application/x-zip-compressed,1.307,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-15T00:29:07.384855,,
1327574,application/zip,1.209,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-15T00:29:07.384855,,
833212,application/xml,5.425,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,aec402e42f6dbaa5b49f3f4cc9c2f27e955d99dce9cf62b4fdf25bdf6f77efcf,200,2021-01-16T00:32:15.027800,,
25342,application/x-zip-compressed,3.698,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-16T00:32:15.027800,,
1327574,application/zip,1.308,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-16T00:32:15.027800,,
833212,application/xml,5.422,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,182e21c93e0ad019afa4ccf0e8133582f565caea8df6719bfac068854f96b76b,200,2021-01-17T00:28:22.399229,,
25342,application/x-zip-compressed,0.954,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-17T00:28:22.399229,,
1327574,application/zip,1.214,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-17T00:28:22.399229,,
833212,application/xml,5.464,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,831066cbdcbd44938e7404f076fd449fed44b8d7976df256a13cf22f2d2e9b52,200,2021-01-18T00:28:06.712119,,
25342,application/x-zip-compressed,0.894,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-18T00:28:06.712119,,
1327574,application/zip,1.377,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-18T00:28:06.712119,,
833212,application/xml,5.577,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,c167a356b7613f00c18a04fd7323108d3144899064d35667c0d2641d92548a72,200,2021-01-19T00:33:57.051875,,
25342,application/x-zip-compressed,1.029,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-19T00:33:57.051875,,
1327574,application/zip,1.471,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,636ac78dd9a11bc5360057135ec930f8a824639d57b44ce51e0f94e993f00a1b,200,2021-01-19T00:33:57.051875,,
833212,application/xml,5.571,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,3c5ca8aecf4a4d1f29dff2e80d5312d830d865e1af540c54f4ba085090991314,200,2021-01-20T00:33:32.322513,,
25342,application/x-zip-compressed,0.854,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,c3d7c9bef302520fc5adbbf9e3bf2d8f3f166e113b2dfe08354dd7d247fae68c,200,2021-01-20T00:33:32.322513,,
