attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
gla,brownfield-site,,2da2e306ec5bde3853000dd2b73a3c792c8e6f9009e4448b83510d1acbfc8ad6,ogl3,local-authority-eng:GLA,brownfield-site,2020-12-22,2020-12-22,
,brownfield-site,https://www.cornwall.gov.uk/environment-and-planning/planning/planning-policy/adopted-plans/evidence-base/register-of-brownfield-land/,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,ogl3,local-authority-eng:CON,brownfield-site,2020-12-23,2020-12-23,
,brownfield-site,https://www.rother.gov.uk/planning-and-building-control/planning-policy/brownfield-land-register/,20c877c9ce9fbc8d81db2a840d2950b675fc04ca54095b38a273531b91626c28,ogl3,local-authority-eng:ROH,brownfield-site,2020-12-24,2020-12-24,
,brownfield-site,,,,development-corporation:Q20648596,brownfield-site,2021-08-31T12:37:21.921Z,,
,brownfield-site,,,,development-corporation:Q4916714,brownfield-site,2021-08-31T12:37:21.921Z,,1998-04-03
,brownfield-site,,,,development-corporation:Q6670544,brownfield-site,2021-08-31T12:37:21.921Z,,
,brownfield-site,,,,development-corporation:Q6670837,brownfield-site,2021-08-31T12:37:21.921Z,,2013-02-28
,brownfield-site,,,,development-corporation:Q72456968,brownfield-site,2021-08-31T12:37:21.921Z,,
,brownfield-site,,,,development-corporation:Q72463795,brownfield-site,2021-08-31T12:37:21.921Z,,
,brownfield-site,,,,development-corporation:Q7799380,brownfield-site,2021-08-31T12:37:21.921Z,,2012-10-31
,brownfield-site,,,,development-corporation:Q7860503,brownfield-site,2021-08-31T12:37:21.921Z,,1998-04-03
,brownfield-site,,,,development-corporation:Q7986087,brownfield-site,2021-08-31T12:37:21.921Z,,2014-07-13
,brownfield-site,,,,local-authority-eng:ADU,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:ALL,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:AMB,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:ARU,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:ASF,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:ASH,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:AYL,brownfield-site,2021-08-31T12:37:21.922Z,,2020-03-31
,brownfield-site,,,,local-authority-eng:BAB,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BAE,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BAI,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BAN,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BAR,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BAS,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BBD,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BDF,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BDG,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BEN,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BEX,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BIR,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BLA,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BMH,brownfield-site,2021-08-31T12:37:21.922Z,,2019-03-31
,brownfield-site,,,,local-authority-eng:BNE,brownfield-site,2021-08-31T12:37:21.922Z,,
,brownfield-site,,,,local-authority-eng:BNH,brownfield-site,2021-08-31T12:37:21.922Z,,
