resource,bytes,organisations,endpoints,start-date,end-date
1682c2006038a2844906df351b481053a2880b0498a1b489c6780c4b6d660c98,871103,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2022-01-02,2022-01-02
173ce724368fdf9793b1615173ad1673fc488bb953a3ec279c730b7bae307e44,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-12-13,2021-12-13
17706cc5279a35430eb503512480d1453ad06c20a756a95a915110510df0863b,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-04-14,2021-04-14
182e21c93e0ad019afa4ccf0e8133582f565caea8df6719bfac068854f96b76b,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-01-17,2021-01-17
1897f7fd46f8394a7f07ef53aae67c43f28caa7aaff343d4c98ff26fb044ebf3,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-10-29,2021-10-29
18b15671accecabfe841094ea9dd0df504a448a6cf3381310cd5b2e888aed691,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-10-14,2021-10-14
191ebf759d9950fc3b18133f96e5e0b7f7065942616e3664b6e54b8e89f75379,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-03-14,2021-03-14
1989acaf1e900091fc7b83a99955f31781f9fb9d6ee1b104a770883082fb8dc3,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-07-18,2021-07-18
1a90562478dc0127a827b0d632349f84ceca61c53bbed839c7a90c022779c917,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-05-01,2021-05-01
1d237a5232508cb77e65d328a6f30773ce12722fbf97e79bfc3d096c05fcc8f9,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-03-25,2021-03-25
1e5d6da4145f0e766caaf133bc750249a30039eab4cd7f798186dbb929b28607,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-04-29,2021-04-29
1f4c76b164bbed8613f191fd7468fd098f327383827b2d9832afe8b795aca579,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-12-14,2021-12-14
1fff9adfa821d79daa50231329a27a4b06923e6c9b04c4ce982a39f95438139c,871103,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2022-01-06,2022-01-06
214afb2ccb1a92aff2b00092f5e4e111b0f1805c7501e51593362fca12df8006,871103,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-12-24,2021-12-24
21e588656b6af1a30e75d040339de10d5fa610e975ea14fcef6874c727f3506e,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2020-12-28,2020-12-28
22e3124d48bd3c197e50c9719f8e84a48e448cecbf65083ae967fe9b17c56414,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-10-27,2021-10-27
2381b68b483c8db9ce99475fc69500bb54f64e1c7675313485634f32c83a9cb3,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-03-20,2021-03-20
23a3b4175c72b4f01782d085651c951484e80ee672085289b4fc4b1204aad65f,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-10-17,2021-10-17
255b1aec8857c722f4092ac9d2393ca667afd68061b20dd311651ea75fd7f4f2,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-09-09,2021-09-09
255d86102be07e5a9e82c4c0c295f4d48cd6d77ac119b2e25385ad08d61ed55c,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-11-07,2021-11-07
25f172f7684a42474b4ba846971b7d19d9761eae42b29b5016027371543a6308,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-01-25,2021-01-25
26e6319bd29ab65cbb1fb9632cfc5b832ac0b9bfe43ad0245227e268c0979aea,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-08-27,2021-08-27
279fb6c94a26b2d29d98221cace2f0cc33a9180f756e50de7751ee887b0b4caf,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-02-03,2021-02-03
29351305fc7364e30793930b200a715458303a14847314c9108c0648d1be68d3,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-12-05,2021-12-05
