geography,name,reference,organisation,documentation-url,geometry,entry-date,start-date,end-date,slug
brownfield-site:OPDC/BLR/1,Harrow Road,OPDC/BLR/1,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.238893 51.532337,-0.237962 51.532178,-0.238040 51.531937,-0.238067 51.531933,-0.237455 51.531754,-0.237290 51.530804,-0.238613 51.531546,-0.239305 51.531820,-0.239962 51.531966,-0.241283 51.532107,-0.240197 51.532138,-0.239469 51.532262,-0.239091 51.532390,-0.238893 51.532337)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-1
brownfield-site:OPDC/BLR/10,Willesden Junction Depot,OPDC/BLR/10,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.249786 51.528915,-0.249726 51.528856,-0.249370 51.528716,-0.249531 51.528632,-0.249836 51.528366,-0.250218 51.528571,-0.249818 51.528932,-0.249786 51.528915)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-10
brownfield-site:OPDC/BLR/11,2 Victoria Terrace,OPDC/BLR/11,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.250313 51.527998,-0.250579 51.527809,-0.250734 51.528061,-0.250737 51.528153,-0.250690 51.528195,-0.250313 51.527998)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-11
brownfield-site:OPDC/BLR/12,Oaklands North,OPDC/BLR/12,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.247964 51.528264,-0.247597 51.528176,-0.247973 51.527523,-0.249606 51.527876,-0.249232 51.528055,-0.248204 51.528318,-0.247964 51.528264)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-12
brownfield-site:OPDC/BLR/13,"Oaklands, Old Oak Common Lane, London, NW10 6DU",OPDC/BLR/13,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.250400 51.527133,-0.250349 51.527259,-0.250372 51.527386,-0.249606 51.527876,-0.247973 51.527523,-0.248451 51.526719,-0.249978 51.527181,-0.250029 51.527123,-0.250291 51.527170,-0.250400 51.527133)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-13
brownfield-site:OPDC/BLR/14,Old Oak Common Lane sites (North),OPDC/BLR/14,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.250202 51.526928,-0.250117 51.526661,-0.250830 51.526069,-0.251657 51.525998,-0.251164 51.526533,-0.250400 51.527133,-0.250351 51.527163,-0.250223 51.527165,-0.249948 51.527084,-0.250202 51.526928)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-14
brownfield-site:OPDC/BLR/15,Old Oak Common Station and surroundings,OPDC/BLR/15,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.252566 51.524920,-0.252444 51.525104,-0.240731 51.525686,-0.240507 51.525726,-0.240119 51.524940,-0.241222 51.524757,-0.243255 51.524352,-0.245754 51.523768,-0.251696 51.521976,-0.252491 51.524349,-0.252566 51.524920)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-15
brownfield-site:OPDC/BLR/16,Big Yellow Storage,OPDC/BLR/16,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.233822 51.525100,-0.233407 51.525029,-0.232957 51.524841,-0.232350 51.524347,-0.232615 51.524220,-0.234118 51.525182,-0.233822 51.525100)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-16
brownfield-site:OPDC/BLR/17,Mitre Industrial Estate,OPDC/BLR/17,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.230314 51.524866,-0.230295 51.524508,-0.230735 51.524156,-0.230905 51.523598,-0.231356 51.523414,-0.232316 51.524319,-0.232957 51.524841,-0.232760 51.524788,-0.232241 51.524814,-0.231766 51.524896,-0.230329 51.524954,-0.230314 51.524866)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-17
brownfield-site:OPDC/BLR/18,Tea Crate,OPDC/BLR/18,development-corporation:Q20648596,,"MULTIPOLYGON (((-0.232350 51.524347,-0.232232 51.524243,-0.231071 51.523144,-0.231141 51.523108,-0.231528 51.523365,-0.231577 51.523338,-0.232278 51.523736,-0.232381 51.523765,-0.232496 51.524083,-0.232615 51.524220,-0.232350 51.524347)))",2020-12-22,,,/brownfield-site/development-corporation/Q20648596/OPDC-BLR-18
