row-number,field,issue-type,value
1,organisation,opendatacommunities-uri,
1,organisation,default,local-authority-eng:ROH
1,entry-date,default,2021-01-04
2,organisation,opendatacommunities-uri,
2,organisation,default,local-authority-eng:ROH
2,entry-date,default,2021-01-04
3,organisation,opendatacommunities-uri,
3,organisation,default,local-authority-eng:ROH
3,entry-date,default,2021-01-04
4,organisation,opendatacommunities-uri,
4,organisation,default,local-authority-eng:ROH
4,entry-date,default,2021-01-04
5,organisation,opendatacommunities-uri,
5,organisation,default,local-authority-eng:ROH
5,entry-date,default,2021-01-04
6,organisation,opendatacommunities-uri,
6,organisation,default,local-authority-eng:ROH
6,entry-date,default,2021-01-04
7,organisation,opendatacommunities-uri,
7,organisation,default,local-authority-eng:ROH
7,entry-date,default,2021-01-04
8,organisation,opendatacommunities-uri,
8,organisation,default,local-authority-eng:ROH
8,entry-date,default,2021-01-04
9,organisation,opendatacommunities-uri,
9,organisation,default,local-authority-eng:ROH
9,entry-date,default,2021-01-04
10,organisation,opendatacommunities-uri,
10,organisation,default,local-authority-eng:ROH
10,entry-date,default,2021-01-04
11,organisation,opendatacommunities-uri,
11,organisation,default,local-authority-eng:ROH
11,entry-date,default,2021-01-04
12,organisation,opendatacommunities-uri,
12,organisation,default,local-authority-eng:ROH
12,entry-date,default,2021-01-04
13,organisation,opendatacommunities-uri,
13,organisation,default,local-authority-eng:ROH
13,entry-date,default,2021-01-04
14,organisation,opendatacommunities-uri,
14,organisation,default,local-authority-eng:ROH
14,entry-date,default,2021-01-04
15,organisation,opendatacommunities-uri,
15,organisation,default,local-authority-eng:ROH
15,entry-date,default,2021-01-04
16,organisation,opendatacommunities-uri,
16,organisation,default,local-authority-eng:ROH
16,entry-date,default,2021-01-04
17,organisation,opendatacommunities-uri,
17,organisation,default,local-authority-eng:ROH
17,entry-date,default,2021-01-04
18,organisation,opendatacommunities-uri,
18,organisation,default,local-authority-eng:ROH
18,entry-date,default,2021-01-04
19,organisation,opendatacommunities-uri,
19,organisation,default,local-authority-eng:ROH
19,entry-date,default,2021-01-04
20,organisation,opendatacommunities-uri,
20,organisation,default,local-authority-eng:ROH
20,entry-date,default,2021-01-04
21,organisation,opendatacommunities-uri,
21,organisation,default,local-authority-eng:ROH
21,entry-date,default,2021-01-04
22,organisation,opendatacommunities-uri,
22,organisation,default,local-authority-eng:ROH
22,entry-date,default,2021-01-04
23,organisation,opendatacommunities-uri,
23,organisation,default,local-authority-eng:ROH
23,entry-date,default,2021-01-04
24,organisation,opendatacommunities-uri,
24,organisation,default,local-authority-eng:ROH
24,entry-date,default,2021-01-04
25,organisation,opendatacommunities-uri,
25,organisation,default,local-authority-eng:ROH
25,entry-date,default,2021-01-04
26,organisation,opendatacommunities-uri,
26,organisation,default,local-authority-eng:ROH
26,entry-date,default,2021-01-04
27,organisation,opendatacommunities-uri,
27,organisation,default,local-authority-eng:ROH
27,entry-date,default,2021-01-04
28,organisation,opendatacommunities-uri,
28,organisation,default,local-authority-eng:ROH
28,entry-date,default,2021-01-04
29,organisation,opendatacommunities-uri,
29,organisation,default,local-authority-eng:ROH
29,entry-date,default,2021-01-04
30,organisation,opendatacommunities-uri,
30,organisation,default,local-authority-eng:ROH
30,entry-date,default,2021-01-04
31,organisation,opendatacommunities-uri,
31,organisation,default,local-authority-eng:ROH
31,entry-date,default,2021-01-04
32,organisation,opendatacommunities-uri,
32,organisation,default,local-authority-eng:ROH
32,entry-date,default,2021-01-04
33,organisation,opendatacommunities-uri,
33,organisation,default,local-authority-eng:ROH
33,entry-date,default,2021-01-04
34,organisation,opendatacommunities-uri,
34,organisation,default,local-authority-eng:ROH
34,entry-date,default,2021-01-04
35,organisation,opendatacommunities-uri,
35,organisation,default,local-authority-eng:ROH
35,entry-date,default,2021-01-04
36,organisation,opendatacommunities-uri,
36,organisation,default,local-authority-eng:ROH
36,entry-date,default,2021-01-04
37,organisation,opendatacommunities-uri,
37,organisation,default,local-authority-eng:ROH
37,entry-date,default,2021-01-04
38,organisation,opendatacommunities-uri,
38,organisation,default,local-authority-eng:ROH
38,entry-date,default,2021-01-04
39,organisation,opendatacommunities-uri,
39,organisation,default,local-authority-eng:ROH
39,entry-date,default,2021-01-04
40,organisation,opendatacommunities-uri,
40,organisation,default,local-authority-eng:ROH
40,entry-date,default,2021-01-04
41,organisation,opendatacommunities-uri,
41,organisation,default,local-authority-eng:ROH
41,entry-date,default,2021-01-04
42,organisation,opendatacommunities-uri,
42,organisation,default,local-authority-eng:ROH
42,entry-date,default,2021-01-04
43,organisation,opendatacommunities-uri,
43,organisation,default,local-authority-eng:ROH
43,entry-date,default,2021-01-04
44,organisation,opendatacommunities-uri,
44,organisation,default,local-authority-eng:ROH
44,entry-date,default,2021-01-04
45,organisation,opendatacommunities-uri,
45,organisation,default,local-authority-eng:ROH
45,entry-date,default,2021-01-04
46,organisation,opendatacommunities-uri,
46,organisation,default,local-authority-eng:ROH
46,entry-date,default,2021-01-04
47,organisation,opendatacommunities-uri,
47,organisation,default,local-authority-eng:ROH
47,entry-date,default,2021-01-04
48,organisation,opendatacommunities-uri,
48,organisation,default,local-authority-eng:ROH
48,entry-date,default,2021-01-04
49,organisation,opendatacommunities-uri,
49,organisation,default,local-authority-eng:ROH
49,entry-date,default,2021-01-04
