row-number,field,issue-type,value
1,geography,default,BR1
1,entry-date,default,2021-02-21
2,geography,default,BR2
2,entry-date,default,2021-02-21
3,geography,default,BR4
3,entry-date,default,2021-02-21
4,geography,default,BR5
4,entry-date,default,2021-02-21
5,geography,default,BR14
5,entry-date,default,2021-02-21
6,geography,default,BR16
6,entry-date,default,2021-02-21
7,geography,default,BR17
7,entry-date,default,2021-02-21
8,geography,default,BR18
8,entry-date,default,2021-02-21
9,geography,default,BR20
9,entry-date,default,2021-02-21
10,geography,default,BR21
10,entry-date,default,2021-02-21
11,geography,default,BR22
11,entry-date,default,2021-02-21
12,geography,default,BR24
12,entry-date,default,2021-02-21
13,geography,default,BR25
13,entry-date,default,2021-02-21
14,geography,default,BR29
14,entry-date,default,2021-02-21
15,geography,default,BR33
15,entry-date,default,2021-02-21
16,geography,default,BR34
16,entry-date,default,2021-02-21
17,geography,default,BR35
17,entry-date,default,2021-02-21
18,geography,default,BR36
18,entry-date,default,2021-02-21
19,geography,default,BR37
19,entry-date,default,2021-02-21
20,geography,default,BR38
20,entry-date,default,2021-02-21
21,geography,default,BR39
21,entry-date,default,2021-02-21
22,geography,default,BR42
22,entry-date,default,2021-02-21
23,geography,default,BR43
23,entry-date,default,2021-02-21
24,geography,default,BR44
24,entry-date,default,2021-02-21
25,geography,default,BR45
25,entry-date,default,2021-02-21
26,geography,default,BR46
26,entry-date,default,2021-02-21
27,geography,default,BR50
27,entry-date,default,2021-02-21
28,geography,default,BR52
28,entry-date,default,2021-02-21
29,geography,default,BR53
29,entry-date,default,2021-02-21
30,geography,default,BR57
30,entry-date,default,2021-02-21
31,geography,default,BR58
31,entry-date,default,2021-02-21
32,geography,default,BR60
32,entry-date,default,2021-02-21
33,geography,default,BR61
33,entry-date,default,2021-02-21
34,geography,default,BR63
34,entry-date,default,2021-02-21
35,geography,default,BR65
35,entry-date,default,2021-02-21
36,geography,default,BR67
36,entry-date,default,2021-02-21
37,geography,default,BR69
37,entry-date,default,2021-02-21
38,geography,default,BR70
38,entry-date,default,2021-02-21
39,geography,default,BR80
39,entry-date,default,2021-02-21
40,geography,default,BR84
