row-number,field,issue-type,value
1,geography,default,BR1
1,entry-date,default,2021-03-02
2,geography,default,BR2
2,entry-date,default,2021-03-02
3,geography,default,BR4
3,entry-date,default,2021-03-02
4,geography,default,BR5
4,entry-date,default,2021-03-02
5,geography,default,BR14
5,entry-date,default,2021-03-02
6,geography,default,BR16
6,entry-date,default,2021-03-02
7,geography,default,BR17
7,entry-date,default,2021-03-02
8,geography,default,BR18
8,entry-date,default,2021-03-02
9,geography,default,BR20
9,entry-date,default,2021-03-02
10,geography,default,BR21
10,entry-date,default,2021-03-02
11,geography,default,BR22
11,entry-date,default,2021-03-02
12,geography,default,BR24
12,entry-date,default,2021-03-02
13,geography,default,BR25
13,entry-date,default,2021-03-02
14,geography,default,BR29
14,entry-date,default,2021-03-02
15,geography,default,BR33
15,entry-date,default,2021-03-02
16,geography,default,BR34
16,entry-date,default,2021-03-02
17,geography,default,BR35
17,entry-date,default,2021-03-02
18,geography,default,BR36
18,entry-date,default,2021-03-02
19,geography,default,BR37
19,entry-date,default,2021-03-02
20,geography,default,BR38
20,entry-date,default,2021-03-02
21,geography,default,BR39
21,entry-date,default,2021-03-02
22,geography,default,BR42
22,entry-date,default,2021-03-02
23,geography,default,BR43
23,entry-date,default,2021-03-02
24,geography,default,BR44
24,entry-date,default,2021-03-02
25,geography,default,BR45
25,entry-date,default,2021-03-02
26,geography,default,BR46
26,entry-date,default,2021-03-02
27,geography,default,BR50
27,entry-date,default,2021-03-02
28,geography,default,BR52
28,entry-date,default,2021-03-02
29,geography,default,BR53
29,entry-date,default,2021-03-02
30,geography,default,BR57
30,entry-date,default,2021-03-02
31,geography,default,BR58
31,entry-date,default,2021-03-02
32,geography,default,BR60
32,entry-date,default,2021-03-02
33,geography,default,BR61
33,entry-date,default,2021-03-02
34,geography,default,BR63
34,entry-date,default,2021-03-02
35,geography,default,BR65
35,entry-date,default,2021-03-02
36,geography,default,BR67
36,entry-date,default,2021-03-02
37,geography,default,BR69
37,entry-date,default,2021-03-02
38,geography,default,BR70
38,entry-date,default,2021-03-02
39,geography,default,BR80
39,entry-date,default,2021-03-02
40,geography,default,BR84
40,entry-date,default,2021-03-02
41,geography,default,BR86
41,entry-date,default,2021-03-02
42,geography,default,BR87
42,entry-date,default,2021-03-02
43,geography,default,BR89
43,entry-date,default,2021-03-02
44,geography,default,BR90
44,entry-date,default,2021-03-02
45,geography,default,BR97
45,entry-date,default,2021-03-02
46,geography,default,BR102
46,entry-date,default,2021-03-02
47,geography,default,BR108
47,entry-date,default,2021-03-02
48,geography,default,BR109
48,entry-date,default,2021-03-02
49,geography,default,BR110
49,entry-date,default,2021-03-02
50,geography,default,BR111
50,entry-date,default,2021-03-02
51,geography,default,BR112
51,entry-date,default,2021-03-02
52,geography,default,BR113
52,entry-date,default,2021-03-02
53,geography,default,BR114
53,entry-date,default,2021-03-02
54,geography,default,BR115
54,entry-date,default,2021-03-02
55,geography,default,BR116
55,entry-date,default,2021-03-02
56,geography,default,BR117
56,entry-date,default,2021-03-02
57,geography,default,BR118
57,entry-date,default,2021-03-02
58,geography,default,BR119
58,entry-date,default,2021-03-02
59,geography,default,BR120
59,entry-date,default,2021-03-02
60,geography,default,BR121
60,entry-date,default,2021-03-02
61,geography,default,BR122
61,entry-date,default,2021-03-02
62,geography,default,BR124
62,entry-date,default,2021-03-02
63,geography,default,BR125
63,entry-date,default,2021-03-02
64,geography,default,BR126
64,entry-date,default,2021-03-02
65,geography,default,BR127
65,entry-date,default,2021-03-02
66,geography,default,BR128
66,entry-date,default,2021-03-02
67,geography,default,BR129
67,entry-date,default,2021-03-02
